question,choices,required,label,demographic
What is your age?,,n,age,y
What is your gender,male/female,n,gender,y
I am the life of the party.,Inaccurate/Neutral/Accurate,y,E,
I feel little concern for others.,,n,A,
I am always prepared.,,,C,
I get stressed out easily.,,,N,
I have a rich vocabulary.,,,O,
I don't talk a lot.,,,E,
I am interested in people.,,,A,
I leave my belongings around.,,,C,
I am relaxed most of the time.,,,N,
I have difficulty understanding abstract ideas.,,,O,
I feel comfortable around people.,,,E,
I insult people.,,,A,
I pay attention to details.,,,C,
I worry about things.,,,N,
I have a vivid imagination.,,,O,
I keep in the background.,,,E,
I sympathize with others' feelings.,,,A,
I make a mess of things.,,,C,
I seldom feel blue.,,,N,
I am not interested in abstract ideas.,,,O,